id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,number_of_reviews,availability_eoy,estimated_occupancy_l365d,review_scores_rating,review_scores_communication,review_scores_location,instant_bookable,calculated_host_listings_count,amenities_number,number_of_private_bathrooms,number_of_shared_bathrooms,estimated_response_time_hours,host_response_time:a few days or more,host_response_time:within a day,host_response_time:within a few hours,host_response_time:within an hour,neighbourhood_cleansed:Ang Mo Kio,neighbourhood_cleansed:Bedok,neighbourhood_cleansed:Bishan,neighbourhood_cleansed:Bukit Batok,neighbourhood_cleansed:Bukit Merah,neighbourhood_cleansed:Bukit Panjang,neighbourhood_cleansed:Bukit Timah,neighbourhood_cleansed:Central Water Catchment,neighbourhood_cleansed:Changi,neighbourhood_cleansed:Choa Chu Kang,neighbourhood_cleansed:Clementi,neighbourhood_cleansed:Downtown Core,neighbourhood_cleansed:Geylang,neighbourhood_cleansed:Hougang,neighbourhood_cleansed:Jurong East,neighbourhood_cleansed:Jurong West,neighbourhood_cleansed:Kallang,neighbourhood_cleansed:Marina South,neighbourhood_cleansed:Marine Parade,neighbourhood_cleansed:Museum,neighbourhood_cleansed:Newton,neighbourhood_cleansed:Novena,neighbourhood_cleansed:Orchard,neighbourhood_cleansed:Outram,neighbourhood_cleansed:Pasir Ris,neighbourhood_cleansed:Punggol,neighbourhood_cleansed:Queenstown,neighbourhood_cleansed:River Valley,neighbourhood_cleansed:Rochor,neighbourhood_cleansed:Sembawang,neighbourhood_cleansed:Sengkang,neighbourhood_cleansed:Serangoon,neighbourhood_cleansed:Singapore River,neighbourhood_cleansed:Southern Islands,neighbourhood_cleansed:Tampines,neighbourhood_cleansed:Tanglin,neighbourhood_cleansed:Toa Payoh,neighbourhood_cleansed:Western Water Catchment,neighbourhood_cleansed:Woodlands,neighbourhood_cleansed:Yishun,neighbourhood_group_cleansed:Central Region,neighbourhood_group_cleansed:East Region,neighbourhood_group_cleansed:North Region,neighbourhood_group_cleansed:North-East Region,neighbourhood_group_cleansed:West Region,property_type:Boat,property_type:Entire condo,property_type:Entire guest suite,property_type:Entire guesthouse,property_type:Entire home,property_type:Entire loft,property_type:Entire rental unit,property_type:Entire serviced apartment,property_type:Entire townhouse,property_type:Private room,property_type:Private room in barn,property_type:Private room in bed and breakfast,property_type:Private room in bungalow,property_type:Private room in casa particular,property_type:Private room in castle,property_type:Private room in condo,property_type:Private room in earthen home,property_type:Private room in guest suite,property_type:Private room in guesthouse,property_type:Private room in home,property_type:Private room in hostel,property_type:Private room in loft,property_type:Private room in rental unit,property_type:Private room in serviced apartment,property_type:Private room in townhouse,property_type:Private room in train,property_type:Private room in vacation home,property_type:Private room in villa,property_type:Room in aparthotel,property_type:Room in boutique hotel,property_type:Room in hostel,property_type:Room in hotel,property_type:Room in serviced apartment,property_type:Shared room in bed and breakfast,property_type:Shared room in boutique hotel,property_type:Shared room in dome,property_type:Shared room in guesthouse,property_type:Shared room in hostel,property_type:Shared room in hotel,property_type:Shared room in rental unit,property_type:Tiny home,room_type:Entire home/apt,room_type:Hotel room,room_type:Private room,room_type:Shared room
71896,367042,1,1,FALSE,10,TRUE,TRUE,1.34754,103.95958,1,0.5,1,1,104,92,365,92,92,1125,1125,92,1125,90,24,90,0,4.16,4.43,4.17,FALSE,5,37,0,0.5,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
71903,367042,1,1,FALSE,10,TRUE,TRUE,1.34531,103.961,2,0.5,1,2,76,92,365,92,92,1125,1125,92,1125,90,46,90,0,4.41,4.64,4.5,FALSE,5,25,0,0.5,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
294281,1521514,1,1,FALSE,8,TRUE,TRUE,1.31142,103.83924,2,1,2,1,85,92,1125,92,92,1125,1125,92,1125,365,131,95,0,4.43,4.66,4.52,FALSE,7,23,0,1,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
344803,367042,1,1,FALSE,10,TRUE,TRUE,1.34917,103.9609,1,1.5,1,1,41,92,365,92,92,1125,1125,92,1125,286,60,16,0,4.6,4.58,4.66,TRUE,5,45,0,1.5,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
369141,1521514,1,1,FALSE,8,TRUE,TRUE,1.31144,103.83784,2,1,1,1,101,92,180,92,92,180,180,92,180,365,81,95,0,4.43,4.76,4.64,FALSE,7,23,1,0,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
369145,1521514,1,1,FALSE,8,TRUE,TRUE,1.31129,103.83788,2,1,2,1,91,92,1125,92,92,1125,1125,92,1125,365,163,95,0,4.39,4.67,4.6,FALSE,7,19,0,1,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
